Capacity,n,BruteForce,BottomUp,TopDown
66,10,1.763,0.213,0.000
69,10,2.148,0.233,0.000
23,10,2.345,0.066,0.000
58,10,1.916,0.200,0.000
50,10,2.119,0.236,0.000
16,10,2.390,0.056,0.000
31,10,1.885,0.089,0.000
19,10,1.971,0.098,0.000
18,10,2.041,0.064,0.000
30,10,2.117,0.139,0.000
