Capacity,n,BruteForce,BottomUp,TopDown
1000,5,0.071,5.552,0.047
1000,6,0.113,6.704,0.091
1000,7,0.371,6.379,0.125
1000,8,0.803,6.767,0.528
1000,9,1.214,7.417,0.504
1000,10,3.275,10.084,0.958
1000,11,4.922,8.828,1.067
1000,12,13.068,13.791,1.844
1000,13,24.361,13.464,2.047
1000,14,48.324,8.541,3.000
1000,15,93.706,10.143,4.411
1000,16,192.588,9.580,5.187
1000,17,433.039,10.102,5.717
1000,18,833.122,10.940,6.682
1000,19,1723.295,11.098,9.985
1000,20,3466.850,11.559,11.310
