Capacity,n,BruteForce,BottomUp,TopDown
100,5,0.093,0.567,0.060
100,6,0.280,0.691,0.052
100,7,0.389,0.682,0.068
100,8,0.844,0.765,0.101
100,9,2.391,0.732,0.092
100,10,7.520,0.926,0.161
100,11,13.758,1.209,0.167
100,12,29.405,1.070,0.264
100,13,46.665,4.385,0.184
100,14,165.195,2.253,1.412
100,15,165.872,0.654,0.438
100,16,252.640,0.805,1.041
100,17,471.436,0.609,0.319
100,18,807.341,0.732,0.573
100,19,1871.618,0.887,0.656
100,20,3628.471,0.774,0.636
